name,salary_from,salary_to,salary_currency,area_name,published_at
Cпециалист по продвижению сайтов,30000.0,60000.0,RUR,Москва,2008-03-18T23:23:13+0300
Системный администратор,20000.0,20000.0,RUR,Красноярск,2008-03-25T06:20:18+0300
Программист 1С,60000.0,80000.0,RUR,Москва,2008-03-19T06:08:41+0300
Системный администратор,25000.0,27000.0,RUR,Московская область - Север,2008-03-19T08:51:04+0300
Системный аналитик финансового и управленческого учета,70000.0,80000.0,RUR,Москва,2008-03-19T09:41:41+0300
IT Specialist,50000.0,60000.0,RUR,Москва,2008-03-19T09:52:03+0300
Руководитель группы,100000.0,100000.0,RUR,Москва,2008-04-07T12:32:17+0400
Системный администратор,30000.0,40000.0,RUR,Москва,2008-03-24T10:34:13+0300
Системный администратор,20000.0,30000.0,RUR,Казань,2008-03-19T10:17:30+0300
"Специалист по внедрению и поддержке систем ""Парус-Бюджет 8"",20000.0,50000.0,RUR,Москва,2008-03-19T10:22:55+0300"
Инженер по продажам,50000.0,70000.0,RUR,Санкт-Петербург,2008-03-19T10:28:14+0300
"Специалист, консультант по программному продукту ""Парус-Бюджет 7"",20000.0,50000.0,RUR,Москва,2008-03-19T10:30:12+0300"
Стажер,10000.0,10000.0,RUR,Москва,2008-03-19T10:31:31+0300
Старший специалист в отдел прикладных систем,50000.0,80000.0,RUR,Москва,2008-03-19T10:37:42+0300
Программист 1С,45000.0,60000.0,RUR,Санкт-Петербург,2008-04-17T14:53:39+0400
Инженер по коммерческому сопровождению программных продуктов,8000.0,12000.0,RUR,Нижний Новгород,2008-03-19T11:06:06+0300
Начальник отдела эксплуатации,20000.0,25000.0,RUR,Краснодар,2008-04-17T08:27:01+0400
Программист 1С,22400.0,70000.0,RUR,Москва,2008-03-19T11:21:02+0300
Программист 1С (1C Предприятие) 7.7, 8.0, 8.1,25000.0,47000.0,RUR,Москва,2008-03-19T11:28:49+0300
Главный специалист управления развития и внедрения Департамента банковских технологий,70000.0,80000.0,RUR,Москва,2008-04-30T10:41:49+0400
Дизайнер веб,30000.0,43000.0,RUR,Москва,2008-03-19T11:58:20+0300
